State,Income ($),Personal Consumption Expenditure ($),GDP (million $),Median House Value ($),Population,Population in Poverty,Year
Maine,45734,35693,50487,160100,1281292,157685,2009
Maryland,69272,36871,303674,286900,5559336,505286,2009
Massachusetts,64081,41721,381628,320800,6365449,654983,2009
Michigan,45255,31002,366387,112900,9735741,1576704,2009
Minnesota,55616,35107,259935,173700,5133038,563006,2009
Mississippi,36646,24994,92442,78900,2848335,624360,2009
Missouri,45229,30854,249783,113500,5818541,849009,2009
Montana,42322,32180,35442,151900,946333,143028,2009
Nebraska,47357,31364,87172,102500,1739311,214765,2009
Nevada,53341,30432,119087,181600,2606479,321940,2009
New Hampshire,60567,39975,60654,223500,1284588,109213,2009
New Jersey,68342,40238,484804,325500,8531160,799099,2009
New Mexico,43028,29200,81129,122500,1968078,353594,2009
New York,54659,36776,1142957,261300,19014215,2691757,2009
North Carolina,43674,27259,410488,121500,9095948,1478214,2009
North Dakota,47827,34179,31994,91100,620821,72342,2009
Ohio,45395,30254,477591,117900,11225133,1709971,2009
Oklahoma,41664,27056,143500,85600,3565442,577956,2009
Oregon,48457,31655,180612,229000,3748545,534594,2009
Pennsylvania,49520,33353,566495,133800,12165877,1516705,2009
Rhode Island,54119,35162,47854,265900,1015667,116378,2009
South Carolina,42442,27785,161565,102400,4416859,753739,2009
South Dakota,45043,31731,36890,93000,782725,111305,2009
Tennessee,41725,27686,248024,115500,6141391,1052144,2009
Texas,48259,28948,1168881,93600,24176222,4150242,2009
Utah,55117,28313,113943,207700,2741756,316217,2009
Vermont,51618,37825,25302,198500,600244,68246,2009
Virginia,59330,34342,410342,188600,7623736,802578,2009
Washington,56548,34707,350996,258100,6530664,804237,2009
West Virginia,37435,27563,63053,78100,1771561,313419,2009
Wisconsin,49993,32037,246106,156600,5495845,683408,2009
Wyoming,52664,33551,37889,164400,529982,52144,2009
Alabama,40474,27318,176355,91700,4666970,888290,2010
Alaska,64576,40915,52673,201300,696822,69279,2010
Arizona,46789,30421,248542,144500,6272686,1094249,2010
Arkansas,38307,26341,106043,85900,2839798,534898,2010
California,57708,34030,1966587,345500,36593372,5783043,2010
Colorado,54046,34622,258237,211900,4934178,659786,2010
Connecticut,64032,41360,232470,274200,3466977,350145,2010
Delaware,55847,37040,57539,226500,874321,103427,2010
District of Columbia,60903,49715,104172,383600,570953,109423,2010
Florida,44409,32310,730896,143300,18436788,3047343,2010
Georgia,46430,28831,412194,120900,9446906,1688932,2010
Hawaii,63030,35963,67740,543700,1326373,142185,2010
Idaho,43490,28639,55658,149700,1541860,242272,2010
Illinois,52972,34140,655006,163800,12543457,1731711,2010
Indiana,44613,30147,282954,105200,6294417,962775,2010
Iowa,47961,31227,142344,106800,2950251,370507,2010
Kansas,48257,30333,127947,97500,2775355,377530,2010
Kentucky,40062,28434,166181,94400,4215643,800226,2010
Louisiana,42505,28938,233155,104500,4413890,825144,2010
Maine,45815,36873,51681,160300,1293012,167242,2010
Maryland,68854,37659,314354,272400,5643821,557140,2010
Massachusetts,62072,43062,398147,323600,6333611,725143,2010
Michigan,45413,31909,386586,108400,9656449,1618257,2010
Minnesota,55459,36042,272995,171900,5189200,599516,2010
Mississippi,36851,25985,95539,79900,2875594,643883,2010
Missouri,44301,31476,256212,113700,5817852,888570,2010
Montana,42666,33202,37343,155400,964509,140969,2010
Nebraska,48408,32416,91837,108200,1776166,229923,2010
Nevada,51001,30962,119529,161700,2666662,398027,2010
New Hampshire,61042,40963,62868,230600,1276614,105786,2010
New Jersey,67681,41048,494148,318400,8626524,884789,2010
New Mexico,42090,29889,83968,119300,2024716,413851,2010
New York,54148,38102,1199367,249600,18879810,2821470,2010
North Carolina,43326,28247,422107,118100,9304553,1627602,2010
North Dakota,48670,36642,35305,93400,651415,84895,2010
Ohio,45090,31213,494395,118000,11224969,1779032,2010
Oklahoma,42072,28032,152122,88400,3646849,616610,2010
Oregon,46560,32326,191521,220600,3765919,596408,2010
Pennsylvania,49288,34389,585650,135100,12298955,1648184,2010
Rhode Island,52254,36064,49337,246100,1012200,142188,2010
South Carolina,42018,29204,165353,105400,4493865,815755,2010
South Dakota,45904,33011,38718,99100,788226,113760,2010
Tennessee,41461,28876,253671,119900,6195120,1095466,2010
Texas,48615,29736,1247572,95800,24652927,4414481,2010
Utah,54744,28555,118491,204300,2730176,359242,2010
Vermont,49406,39182,26469,204200,600850,76352,2010
Virginia,60674,35117,424232,194300,7780635,861969,2010
Washington,55631,35431,362521,245300,6615922,888718,2010
West Virginia,38218,28738,66230,76700,1799960,326507,2010
Wisconsin,49001,32741,254348,155900,5535803,731479,2010
Wyoming,53512,34412,40237,162200,551120,61577,2010
Alabama,41415,28390,182395,142200,4687363,892483,2011
Alaska,67825,42632,56939,255000,706860,73905,2011
Arizona,46709,31546,256972,161100,6336449,1203501,2011
Arkansas,38758,27385,110850,120700,2856663,555876,2011
California,57287,35330,2033990,363600,36941931,6118803,2011
Colorado,55387,35992,266627,238800,5002128,674195,2011
Connecticut,65753,42586,233960,282900,3471802,377856,2011
Delaware,58814,38527,59275,242200,882353,104831,2011
District of Columbia,63124,51383,108217,426800,584583,109363,2011
Florida,44299,33646,736890,159100,18652057,3173456,2011
Georgia,46007,30130,424494,156300,9550271,1827743,2011
Hawaii,61821,37268,70058,485800,1338543,161290,2011
Idaho,43341,29780,57050,164000,1550082,255027,2011
Illinois,53234,35476,680395,190100,12566914,1879965,2011
Indiana,46438,31334,291357,129300,6318942,1011017,2011
Iowa,49427,32741,150289,133600,2963602,378864,2011
Kansas,48964,31785,136613,143100,2786855,383467,2011
Kentucky,41141,29644,172869,134900,4238283,811277,2011
Louisiana,41734,30161,241845,158200,4445400,908375,2011
Maine,46033,38050,52007,180000,1291650,182448,2011
Maryland,70004,38702,323148,293800,5685412,571887,2011
Massachusetts,62859,44306,412653,330500,6367148,738514,2011
Michigan,45981,33318,398912,126600,9656260,1693294,2011
Minnesota,56954,37521,285452,191400,5222556,621970,2011
Mississippi,36919,27120,97760,119400,2884215,650524,2011
Missouri,45247,32755,257985,146800,5831530,920118,2011
Montana,44222,34537,40193,198200,974025,144054,2011
Nebraska,50296,33966,98997,137800,1789275,234710,2011
Nevada,48927,32180,122420,160400,2684536,426741,2011
New Hampshire,62647,42733,64246,243100,1279118,112715,2011
New Jersey,67458,42173,498918,332100,8646606,897376,2011
New Mexico,41963,31083,86737,174100,2042530,439914,2011
New York,55246,39597,1234073,303500,18954044,3027342,2011
North Carolina,43916,29190,433311,165400,9406091,1680963,2011
North Dakota,51704,39944,40482,147200,660473,80882,2011
Ohio,45749,32467,520398,137900,11234071,1845800,2011
Oklahoma,43225,29587,162118,125600,3678924,633298,2011
Oregon,46816,33586,200854,238600,3794213,662283,2011
Pennsylvania,50228,35778,602686,178800,12328566,1695996,2011
Rhode Island,53636,37046,49932,244400,1009941,148819,2011
South Carolina,42367,30239,171550,152300,4538298,856938,2011
South Dakota,48321,34415,42362,148800,794872,110681,2011
Tennessee,41693,30207,264052,147400,6246380,1142299,2011
Texas,49392,31290,1350773,144100,25071125,4628758,2011
Utah,55869,29399,124737,209900,2771344,374859,2011
Vermont,52776,40752,27622,220700,601236,69075,2011
Virginia,61882,36340,432206,262800,7854282,905914,2011
Washington,56835,36696,372444,263100,6687073,929258,2011
West Virginia,38482,30013,69892,118400,1802655,334885,2011
Wisconsin,50395,33851,263800,172100,5554349,725797,2011
Wyoming,56322,36186,43067,187700,554314,62629,2011
Alabama,41574,29072,186960,142600,4706978,892564,2012
Alaska,67712,43568,57941,260400,715608,72400,2012
Arizona,47826,32240,267493,159700,6401273,1194506,2012
Arkansas,40112,28042,114090,121300,2865098,568065,2012
California,58328,36419,2125135,358100,37303266,6325319,2012
Colorado,56765,36830,276816,240500,5069071,694842,2012
Connecticut,67276,43180,239878,270900,3484178,372390,2012
Delaware,58415,39653,59104,233500,890738,107307,2012
District of Columbia,66583,52219,109937,464200,598151,108732,2012
Florida,45040,34374,766259,156700,18912479,3238581,2012
Georgia,47209,30840,438801,152300,9652596,1848533,2012
Hawaii,66259,38445,72653,496200,1356822,157243,2012
Idaho,45489,30750,58353,158400,1565511,248494,2012
Illinois,55137,36318,710348,180200,12573676,1850562,2012
Indiana,46974,32308,300304,129600,6342423,990325,2012
Iowa,50957,33515,159660,137000,2974225,377484,2012
Kansas,50241,32649,140441,144800,2802207,391734,2012
Kentucky,41724,30601,178682,135800,4247103,823197,2012
Louisiana,42944,31168,250689,158300,4471142,891981,2012
Maine,46709,38832,53180,180200,1293457,189786,2012
Maryland,71122,39547,330518,286500,5744445,590803,2012
Massachusetts,65339,45325,428350,326600,6414762,762645,2012
Michigan,46859,34091,415145,125500,9663760,1685178,2012
Minnesota,58906,38507,295716,186100,5257443,598371,2012
Mississippi,37095,27839,103414,121000,2890890,698252,2012
Missouri,45321,33729,266672,145500,5838008,947792,2012
Montana,45076,35796,41941,199600,980594,152199,2012
Nebraska,50723,34866,102823,138000,1800904,233973,2012
Nevada,49760,32948,124938,153400,2718565,446840,2012
New Hampshire,63280,43653,66490,241300,1280027,128466,2012
New Jersey,69667,43146,523275,318400,8691673,934943,2012
New Mexico,42558,32008,88212,171400,2044778,426245,2012
New York,56448,40510,1302527,299700,19064064,3025016,2012
North Carolina,45150,30172,445720,162100,9498993,1713132,2012
North Dakota,53585,43425,49308,161600,674852,75703,2012
Ohio,46829,33415,542097,135700,11227482,1824628,2012
Oklahoma,44312,30639,169346,127200,3699653,637429,2012
Oregon,49161,34338,203352,231500,3826398,658359,2012
Pennsylvania,51230,36670,619417,176700,12353867,1693285,2012
Rhode Island,54554,37650,51346,236400,1010449,138907,2012
South Carolina,43107,30809,176320,153000,4585454,837770,2012
South Dakota,48362,35090,43177,149700,804310,107846,2012
Tennessee,42764,30856,280169,145800,6295994,1129330,2012
Texas,50740,32257,1449330,145400,25450518,4562352,2012
Utah,57049,30263,128050,202200,2806020,360017,2012
Vermont,52977,41604,28348,225300,601611,71084,2012
Virginia,61741,37209,444617,257400,7936903,931805,2012
Washington,57573,37865,390643,249300,6761934,915278,2012
West Virginia,40196,30844,68722,119900,1801131,320055,2012
Wisconsin,51059,34318,273091,169500,5573134,737356,2012
Wyoming,54901,36903,40877,195700,561445,71019,2012
Alabama,42849,29771,194671,141400,4716105,883371,2013
Alaska,72237,44740,57276,266800,718359,67016,2013
Arizona,48510,32944,274734,178200,6477191,1206460,2013
Arkansas,40511,28690,118553,124700,2873340,565469,2013
California,60190,36932,2212991,383200,37593091,6328824,2013
Colorado,58823,37699,288338,246500,5151461,667446,2013
Connecticut,67098,44157,246897,272800,3485353,373900,2013
Delaware,57846,40425,60816,233900,900322,111327,2013
District of Columbia,67572,53242,111695,472200,611788,115551,2013
Florida,46036,35207,800697,163600,19129950,3253333,2013
